Score_Variation,Score_Variation__Text_,Segment_1,Behavior,Potential_Strategies
244,'244',09- At Risk,"Completed big, frequent purchases long ago. You need to bring them back!",Send personalized emails to reconnect with special offers. Share useful resources with them.
245,'245',09- At Risk,"Completed big, frequent purchases long ago. You need to bring them back!",Send personalized emails to reconnect with special offers. Share useful resources with them.
251,'251',10- Hibernating,Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.
252,'252',09- At Risk,"Completed big, frequent purchases long ago. You need to bring them back!",Send personalized emails to reconnect with special offers. Share useful resources with them.
253,'253',09- At Risk,"Completed big, frequent purchases long ago. You need to bring them back!",Send personalized emails to reconnect with special offers. Share useful resources with them.
254,'254',09- At Risk,"Completed big, frequent purchases long ago. You need to bring them back!",Send personalized emails to reconnect with special offers. Share useful resources with them.
255,'255',09- At Risk,"Completed big, frequent purchases long ago. You need to bring them back!",Send personalized emails to reconnect with special offers. Share useful resources with them.
311,'311',04- New Customer,"Completed a recent purchase, but doesn’t order often.",Support them on their onboarding process. Get their satisfaction. Start to build loyalty.
312,'312',08- About To Sleep,"Below average in recency, frequency and monetary value. At risk of losing them if you don’t reactivate.",Share useful information. Recommend popular products to them. Offer new discounts. Reconnect
313,'313',05- Promising,"Completed a recent purchase, but didn’t spend a lot.",Create brand awareness. Offer discounts
314,'314',05- Promising,"Completed a recent purchase, but didn’t spend a lot.",Create brand awareness. Offer discounts
315,'315',05- Promising,"Completed a recent purchase, but didn’t spend a lot.",Create brand awareness. Offer discounts
321,'321',08- About To Sleep,"Below average in recency, frequency and monetary value. At risk of losing them if you don’t reactivate.",Share useful information. Recommend popular products to them. Offer new discounts. Reconnect
322,'322',10- Hibernating,Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.
323,'323',03- Potential Loyalist,They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.
324,'324',06- Need Attention,"Above average in recency, frequency and monetary value, but no recent purchases.",Launch limited-time offers and recommendations based on previous orders. Reactivate
325,'325',06- Need Attention,"Above average in recency, frequency and monetary value, but no recent purchases.",Launch limited-time offers and recommendations based on previous orders. Reactivate
331,'331',08- About To Sleep,"Below average in recency, frequency and monetary value. At risk of losing them if you don’t reactivate.",Share useful information. Recommend popular products to them. Offer new discounts. Reconnect
332,'332',10- Hibernating,Their last purchase was long ago. The number of orders was small and the amounts spent low.,Offer relevant products and special discounts. Create brand value again.
333,'333',03- Potential Loyalist,They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.
334,'334',06- Need Attention,"Above average in recency, frequency and monetary value, but no recent purchases.",Launch limited-time offers and recommendations based on previous orders. Reactivate
335,'335',02- Loyal Customer,They buy frequently and spend a lot of money on the site. Sensitive to offers.,Upsell. Offer high-value items to them. Ask them for reviews. Build loyalty
341,'341',03- Potential Loyalist,They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.
342,'342',03- Potential Loyalist,They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.
343,'343',06- Need Attention,"Above average in recency, frequency and monetary value, but no recent purchases.",Launch limited-time offers and recommendations based on previous orders. Reactivate
344,'344',02- Loyal Customer,They buy frequently and spend a lot of money on the site. Sensitive to offers.,Upsell. Offer high-value items to them. Ask them for reviews. Build loyalty
345,'345',02- Loyal Customer,They buy frequently and spend a lot of money on the site. Sensitive to offers.,Upsell. Offer high-value items to them. Ask them for reviews. Build loyalty
351,'351',03- Potential Loyalist,They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.
352,'352',03- Potential Loyalist,They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.
353,'353',03- Potential Loyalist,They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.
354,'354',02- Loyal Customer,They buy frequently and spend a lot of money on the site. Sensitive to offers.,Upsell. Offer high-value items to them. Ask them for reviews. Build loyalty
355,'355',02- Loyal Customer,They buy frequently and spend a lot of money on the site. Sensitive to offers.,Upsell. Offer high-value items to them. Ask them for reviews. Build loyalty
411,'411',04- New Customer,"Completed a recent purchase, but doesn’t order often.",Support them on their onboarding process. Get their satisfaction. Start to build loyalty.
412,'412',04- New Customer,"Completed a recent purchase, but doesn’t order often.",Support them on their onboarding process. Get their satisfaction. Start to build loyalty.
413,'413',05- Promising,"Completed a recent purchase, but didn’t spend a lot.",Create brand awareness. Offer discounts
414,'414',05- Promising,"Completed a recent purchase, but didn’t spend a lot.",Create brand awareness. Offer discounts
415,'415',05- Promising,"Completed a recent purchase, but didn’t spend a lot.",Create brand awareness. Offer discounts
421,'421',04- New Customer,"Completed a recent purchase, but doesn’t order often.",Support them on their onboarding process. Get their satisfaction. Start to build loyalty.
422,'422',04- New Customer,"Completed a recent purchase, but doesn’t order often.",Support them on their onboarding process. Get their satisfaction. Start to build loyalty.
423,'423',03- Potential Loyalist,They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.
424,'424',05- Promising,"Completed a recent purchase, but didn’t spend a lot.",Create brand awareness. Offer discounts
425,'425',05- Promising,"Completed a recent purchase, but didn’t spend a lot.",Create brand awareness. Offer discounts
431,'431',03- Potential Loyalist,They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.
432,'432',03- Potential Loyalist,They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.
433,'433',03- Potential Loyalist,They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.
434,'434',06- Need Attention,"Above average in recency, frequency and monetary value, but no recent purchases.",Launch limited-time offers and recommendations based on previous orders. Reactivate
435,'435',02- Loyal Customer,They buy frequently and spend a lot of money on the site. Sensitive to offers.,Upsell. Offer high-value items to them. Ask them for reviews. Build loyalty
441,'441',03- Potential Loyalist,They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.
442,'442',03- Potential Loyalist,They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.
443,'443',06- Need Attention,"Above average in recency, frequency and monetary value, but no recent purchases.",Launch limited-time offers and recommendations based on previous orders. Reactivate
444,'444',02- Loyal Customer,They buy frequently and spend a lot of money on the site. Sensitive to offers.,Upsell. Offer high-value items to them. Ask them for reviews. Build loyalty
445,'445',01- Champion,Completed a recent purchase. They buy frequently and spend the most.,Reward them. Can be early adopters of new products. They act as brand ambassadors.
451,'451',03- Potential Loyalist,They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.
452,'452',03- Potential Loyalist,They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.
453,'453',03- Potential Loyalist,They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.
454,'454',01- Champion,Completed a recent purchase. They buy frequently and spend the most.,Reward them. Can be early adopters of new products. They act as brand ambassadors.
455,'455',01- Champion,Completed a recent purchase. They buy frequently and spend the most.,Reward them. Can be early adopters of new products. They act as brand ambassadors.
511,'511',04- New Customer,"Completed a recent purchase, but doesn’t order often.",Support them on their onboarding process. Get their satisfaction. Start to build loyalty.
512,'512',04- New Customer,"Completed a recent purchase, but doesn’t order often.",Support them on their onboarding process. Get their satisfaction. Start to build loyalty.
513,'513',05- Promising,"Completed a recent purchase, but didn’t spend a lot.",Create brand awareness. Offer discounts
514,'514',05- Promising,"Completed a recent purchase, but didn’t spend a lot.",Create brand awareness. Offer discounts
515,'515',05- Promising,"Completed a recent purchase, but didn’t spend a lot.",Create brand awareness. Offer discounts
521,'521',05- Promising,"Completed a recent purchase, but didn’t spend a lot.",Create brand awareness. Offer discounts
522,'522',05- Promising,"Completed a recent purchase, but didn’t spend a lot.",Create brand awareness. Offer discounts
523,'523',05- Promising,"Completed a recent purchase, but didn’t spend a lot.",Create brand awareness. Offer discounts
524,'524',05- Promising,"Completed a recent purchase, but didn’t spend a lot.",Create brand awareness. Offer discounts
525,'525',05- Promising,"Completed a recent purchase, but didn’t spend a lot.","Create brand awareness. Offer discounts, gifts"
531,'531',03- Potential Loyalist,They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.
532,'532',03- Potential Loyalist,They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.
533,'533',03- Potential Loyalist,They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.
534,'534',06- Need Attention,"Above average in recency, frequency and monetary value, but no recent purchases.",Launch limited-time offers and recommendations based on previous orders. Reactivate
535,'535',06- Need Attention,"Above average in recency, frequency and monetary value, but no recent purchases.",Launch limited-time offers and recommendations based on previous orders. Reactivate
541,'541',03- Potential Loyalist,They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.
542,'542',03- Potential Loyalist,They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.
543,'543',02- Loyal Customer,They buy frequently and spend a lot of money on the site. Sensitive to offers.,Upsell. Offer high-value items to them. Ask them for reviews. Build loyalty
544,'544',01- Champion,Completed a recent purchase. They buy frequently and spend the most.,Reward them. Can be early adopters of new products. They act as brand ambassadors.
545,'545',01- Champion,Completed a recent purchase. They buy frequently and spend the most.,Reward them. Can be early adopters of new products. They act as brand ambassadors.
551,'551',03- Potential Loyalist,They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.
552,'552',03- Potential Loyalist,They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.
553,'553',03- Potential Loyalist,They recently spent a fair amount of money on the site more than once.,Invite them to join a loyalty program or to get a membership. Recommend other products to them.
554,'554',01- Champion,Completed a recent purchase. They buy frequently and spend the most.,Reward them. Can be early adopters of new products. They act as brand ambassadors.
555,'555',01- Champion,Completed a recent purchase. They buy frequently and spend the most.,Reward them. Can be early adopters of new products. They act as brand ambassadors.
